Section,Key,Value
Summary,sport,volleyball
Summary,movement,jump
Summary,overall_score,69.0
Summary,total_frames,96
Summary,errors,Poor left hip extension; Left knee valgus - knee collapsing inward; Limited rotation; No pose detected; Unstable posture; Right knee valgus - knee collapsing inward
Summary,recommendations,Hip bridge; Wall sit; Seated torso twist; Single-leg stance; Wrist curls

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
42,79.2,True,True,,left_knee:99; right_knee:98; shoulders:94; hips:97; ankles:97; left_elbow:87; right_elbow:58
43,78.4,True,True,,left_knee:96; right_knee:95; shoulders:94; hips:97; ankles:97; left_elbow:88; right_elbow:57
44,78.3,True,True,,left_knee:92; right_knee:91; shoulders:93; hips:97; ankles:99; left_elbow:90; right_elbow:65
45,79.3,True,True,,left_knee:96; right_knee:97; shoulders:94; hips:96; ankles:97; left_elbow:91; right_elbow:64
46,79.1,True,True,,left_knee:99; right_knee:92; shoulders:95; hips:97; ankles:94; left_elbow:92; right_elbow:64
47,67.3,False,False,,left_knee:93; right_knee:18; shoulders:95; hips:97; ankles:71; left_elbow:93; right_elbow:71
48,71.3,True,True,,left_knee:97; right_knee:38; shoulders:94; hips:98; ankles:75; left_elbow:93; right_elbow:73
49,62.2,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:0; shoulders:93; hips:99; ankles:76; left_elbow:97; right_elbow:79
50,63.3,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:0; shoulders:94; hips:100; ankles:77; left_elbow:97; right_elbow:82
51,70.3,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:22; shoulders:92; hips:100; ankles:94; left_elbow:95; right_elbow:91
52,69.1,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:22; shoulders:93; hips:99; ankles:97; left_elbow:95; right_elbow:79
53,78.2,True,True,Left knee valgus - knee collapsing inward,left_knee:42; right_knee:100; shoulders:93; hips:99; ankles:95; left_elbow:98; right_elbow:90
54,76.5,True,True,Left knee valgus - knee collapsing inward,left_knee:38; right_knee:88; shoulders:93; hips:100; ankles:94; left_elbow:99; right_elbow:94
55,81.4,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:100; shoulders:93; hips:99; ankles:91; left_elbow:97; right_elbow:95
56,76.4,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:96; shoulders:93; hips:99; ankles:90; left_elbow:93; right_elbow:69
57,76.9,True,True,Left knee valgus - knee collapsing inward,left_knee:48; right_knee:95; shoulders:90; hips:98; ankles:88; left_elbow:91; right_elbow:83
58,75.6,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:94; shoulders:92; hips:98; ankles:87; left_elbow:90; right_elbow:77
59,73.4,True,True,Left knee valgus - knee collapsing inward,left_knee:34; right_knee:93; shoulders:94; hips:98; ankles:86; left_elbow:89; right_elbow:91
60,74.0,True,True,Left knee valgus - knee collapsing inward,left_knee:40; right_knee:90; shoulders:94; hips:98; ankles:86; left_elbow:91; right_elbow:90
61,75.7,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:92; shoulders:93; hips:98; ankles:91; left_elbow:92; right_elbow:91
62,75.6,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:90; shoulders:92; hips:97; ankles:95; left_elbow:90; right_elbow:90
63,75.1,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:93; shoulders:94; hips:97; ankles:99; left_elbow:89; right_elbow:79
64,75.5,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:97; shoulders:93; hips:97; ankles:100; left_elbow:86; right_elbow:80
65,75.9,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:89; shoulders:96; hips:97; ankles:99; left_elbow:89; right_elbow:88
66,82.0,True,True,Limited rotation,left_knee:98; right_knee:93; shoulders:95; hips:97; ankles:97; left_elbow:89; right_elbow:88
67,73.8,True,True,Left knee valgus - knee collapsing inward; Limited rotation,left_knee:50; right_knee:78; shoulders:94; hips:98; ankles:93; left_elbow:89; right_elbow:88
68,73.4,True,True,Left knee valgus - knee collapsing inward; Limited rotation,left_knee:50; right_knee:72; shoulders:95; hips:99; ankles:91; left_elbow:89; right_elbow:91
