Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,335
Summary,overall_score,7.1
Summary,errors,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة; انحراف الركبة للداخل (right) - تجنب انحراف الركبة; لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار

Frame,overall_score,movement,errors
100,0.0,jump_header,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
101,0.0,jump_header,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
102,0.0,jump_header,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
103,81.5,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
104,84.5,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
105,86.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
106,87.5,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
107,84.9,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
108,84.0,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
109,84.9,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
110,93.9,jump_header,
111,94.2,jump_header,
112,90.9,jump_header,
113,91.5,jump_header,
114,79.0,jump_header,
115,80.1,jump_header,
116,71.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
117,72.6,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
118,82.9,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
119,83.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
120,81.2,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
121,81.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
122,76.3,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
123,77.4,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
124,76.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
125,84.6,jump_header,
126,74.1,jump_header,
127,76.0,jump_header,
128,57.4,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
129,45.6,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
130,58.4,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
131,55.3,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
132,55.6,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
133,58.5,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
134,60.1,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
135,60.5,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
136,56.6,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة; وضعية غير مستقرة
137,49.0,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة; وضعية غير مستقرة
138,49.2,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
139,50.6,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
140,66.6,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
141,66.5,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
142,40.1,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة; وضعية غير مستقرة
143,80.4,jump_header,
144,66.5,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
145,83.9,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
146,74.1,jump_header,
147,54.3,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
148,69.5,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
