Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,90
Summary,overall_score,7.2
Summary,errors,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load); Good equipment interaction - limb near target; Unstable posture; Knee valgus (right) - keep knees aligned over toes; No body detected - ensure full body is visible in frame

Frame,overall_score,movement,errors
0,73.4,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
1,72.4,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
2,73.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
3,69.2,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
4,69.9,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
5,76.4,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
6,77.9,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
7,76.9,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
8,75.6,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
9,69.3,swing,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
10,63.6,swing,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
11,56.6,swing,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
12,83.8,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
13,84.3,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
14,83.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
15,82.3,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
16,85.6,jump_header,Knee angle outside safe range (landing/load)
17,79.8,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
18,62.6,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
19,60.6,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
20,56.0,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture; Knee angle outside safe range (landing/load)
21,57.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
22,76.5,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
23,76.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
24,72.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
25,74.0,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
26,76.5,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
27,72.8,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
28,70.2,jump_header,Unstable posture; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
29,69.6,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
30,66.3,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
31,56.4,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
32,53.7,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
33,49.2,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
34,50.9,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
35,52.0,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
36,54.2,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture; Knee angle outside safe range (landing/load)
37,53.3,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture; Knee angle outside safe range (landing/load)
38,0.0,jump_header,No body detected - ensure full body is visible in frame
39,78.7,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
40,78.5,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
41,77.7,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
42,81.9,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
43,82.3,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
44,84.3,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
45,84.0,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
46,84.1,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
47,79.6,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
48,71.4,jump_header,Unstable posture; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
49,57.8,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
50,57.8,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
51,78.9,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
52,81.6,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
53,87.0,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
54,85.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
55,77.8,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
56,84.3,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
57,81.6,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
58,81.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
59,82.2,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
60,81.4,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
61,73.1,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
62,81.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
63,80.2,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
