Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,80
Summary,overall_score,7.2
Summary,errors,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load); Good equipment interaction - limb near target; Unstable posture; Knee valgus (right) - keep knees aligned over toes; No body detected - ensure full body is visible in frame

Frame,overall_score,movement,errors
58,81.3,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
59,82.1,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
60,81.4,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
61,73.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
62,84.2,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
63,78.8,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
64,77.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
65,79.9,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
66,89.3,jump_header,Knee angle outside safe range (landing/load)
67,81.9,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
68,81.2,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
69,75.6,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
70,74.5,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
71,71.2,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
72,74.5,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
73,79.9,jump_header,Knee angle outside safe range (landing/load)
74,78.5,jump_header,Knee angle outside safe range (landing/load)
75,76.0,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
76,76.6,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
77,71.0,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
78,67.8,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
79,61.8,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)

