Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,60
Summary,overall_score,0.0
Summary,errors,No body detected - ensure full body is visible in frame

Frame,overall_score,movement,errors
0,0.0,general,No body detected - ensure full body is visible in frame
1,0.0,general,No body detected - ensure full body is visible in frame
2,0.0,general,No body detected - ensure full body is visible in frame
3,0.0,general,No body detected - ensure full body is visible in frame
4,0.0,general,No body detected - ensure full body is visible in frame
5,0.0,general,No body detected - ensure full body is visible in frame
6,0.0,general,No body detected - ensure full body is visible in frame
7,0.0,general,No body detected - ensure full body is visible in frame
8,0.0,general,No body detected - ensure full body is visible in frame
9,0.0,general,No body detected - ensure full body is visible in frame
10,0.0,general,No body detected - ensure full body is visible in frame
11,0.0,general,No body detected - ensure full body is visible in frame
12,0.0,general,No body detected - ensure full body is visible in frame
13,0.0,general,No body detected - ensure full body is visible in frame
14,0.0,general,No body detected - ensure full body is visible in frame
15,0.0,general,No body detected - ensure full body is visible in frame
16,0.0,general,No body detected - ensure full body is visible in frame
17,0.0,general,No body detected - ensure full body is visible in frame
18,0.0,general,No body detected - ensure full body is visible in frame
19,0.0,general,No body detected - ensure full body is visible in frame
20,0.0,general,No body detected - ensure full body is visible in frame
21,0.0,general,No body detected - ensure full body is visible in frame
22,0.0,general,No body detected - ensure full body is visible in frame
23,0.0,general,No body detected - ensure full body is visible in frame
24,0.0,general,No body detected - ensure full body is visible in frame
25,0.0,general,No body detected - ensure full body is visible in frame
26,0.0,general,No body detected - ensure full body is visible in frame
27,0.0,general,No body detected - ensure full body is visible in frame
28,0.0,general,No body detected - ensure full body is visible in frame
29,0.0,general,No body detected - ensure full body is visible in frame
30,0.0,general,No body detected - ensure full body is visible in frame
31,0.0,general,No body detected - ensure full body is visible in frame
32,0.0,general,No body detected - ensure full body is visible in frame
33,0.0,general,No body detected - ensure full body is visible in frame
34,0.0,general,No body detected - ensure full body is visible in frame
35,0.0,general,No body detected - ensure full body is visible in frame
36,0.0,general,No body detected - ensure full body is visible in frame
37,0.0,general,No body detected - ensure full body is visible in frame
38,0.0,general,No body detected - ensure full body is visible in frame
39,0.0,general,No body detected - ensure full body is visible in frame
40,0.0,general,No body detected - ensure full body is visible in frame
41,0.0,general,No body detected - ensure full body is visible in frame
42,0.0,general,No body detected - ensure full body is visible in frame
43,0.0,general,No body detected - ensure full body is visible in frame
44,0.0,general,No body detected - ensure full body is visible in frame
45,0.0,general,No body detected - ensure full body is visible in frame
46,0.0,general,No body detected - ensure full body is visible in frame
47,0.0,general,No body detected - ensure full body is visible in frame
48,0.0,general,No body detected - ensure full body is visible in frame
49,0.0,general,No body detected - ensure full body is visible in frame
50,0.0,general,No body detected - ensure full body is visible in frame
51,0.0,general,No body detected - ensure full body is visible in frame
52,0.0,general,No body detected - ensure full body is visible in frame
53,0.0,general,No body detected - ensure full body is visible in frame
54,0.0,general,No body detected - ensure full body is visible in frame
55,0.0,general,No body detected - ensure full body is visible in frame
56,0.0,general,No body detected - ensure full body is visible in frame
57,0.0,general,No body detected - ensure full body is visible in frame
58,0.0,general,No body detected - ensure full body is visible in frame
59,0.0,general,No body detected - ensure full body is visible in frame

