Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,46
Summary,overall_score,6.9
Summary,errors,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load); Good equipment interaction - limb near target; Unstable posture; Knee valgus (right) - keep knees aligned over toes; No body detected - ensure full body is visible in frame

Frame,overall_score,movement,errors
0,73.4,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
1,72.4,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
2,72.8,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
3,69.4,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
4,70.0,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
5,76.1,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
6,77.4,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
7,77.0,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
8,76.3,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
9,68.7,swing,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
10,64.6,swing,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
11,57.3,swing,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
12,85.3,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
13,84.3,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
14,83.6,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
15,82.3,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
16,85.6,jump_header,Knee angle outside safe range (landing/load)
17,81.0,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
18,62.4,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
19,60.6,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
20,55.9,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture; Knee angle outside safe range (landing/load)
21,57.9,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
22,76.5,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
23,76.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
24,72.8,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
25,73.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
26,76.8,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
27,72.6,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
28,69.9,jump_header,Unstable posture; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
29,68.9,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
30,67.9,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
31,56.3,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
32,52.0,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
33,49.1,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
34,50.6,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
35,52.7,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
36,48.8,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture; Knee angle outside safe range (landing/load)
37,46.1,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture; Knee angle outside safe range (landing/load)
38,0.0,jump_header,No body detected - ensure full body is visible in frame
39,78.6,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
40,78.8,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
41,77.8,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
42,82.1,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
43,82.3,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
44,84.5,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
45,84.0,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)

